Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
True,,The Gay Divorcee,1934,Approved,12 Oct 1934,107 min,"Comedy, Musical, Romance",Mark Sandrich,"Dwight Taylor, Kenneth S. Webb, Samuel Hoffenstein","Fred Astaire, Ginger Rogers, Alice Brady",A woman thinks a flirting man is the co-respondent her lawyer has hired to expedite her divorce.,"English, French, Italian",United States,Won 1 Oscar. 1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYjNhYTQ5MmEtNjAyNS00MDYwLThkMmQtNzAxY2JhNjM3NGI2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.4,"8,322",tt0025164,movie,18 Aug 2008,N/A,N/A,N/A,
True,,Here Comes the Navy,1934,Approved,21 Jul 1934,87 min,"Comedy, Drama, Romance",Lloyd Bacon,"Earl Baldwin, Ben Markson, Alfred A. Cohn","James Cagney, Pat O'Brien, Gloria Stuart",A cocky guy joins the Navy for the wrong reason but finds romance and twice is cited for heroism.,English,United States,Nominated for 1 Oscar. 1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNTZjMGU0NDUtMWRkYi00YjE3LWEzNjYtY2IyNjJhYmQ0NDliXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.2,"1,109",tt0025238,movie,20 Nov 2016,N/A,N/A,N/A,
True,,The House of Rothschild,1934,Passed,07 Apr 1934,88 min,"Biography, Drama, History","Alfred L. Werker, Sidney Lanfield","Nunnally Johnson, George Hembert Westley, George Arliss","George Arliss, Boris Karloff, Loretta Young",The wealthy Rothschild family undergoes prejudice from the anti-Semitic society they live within.,English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BNTBkNjA3NmQtOGQ3MC00ODk2LTlmZjYtYmQ3ZGIxZTczMjFjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,"1,261",tt0025272,movie,N/A,N/A,N/A,N/A,
True,,Imitation of Life,1934,Approved,26 Nov 1934,111 min,"Comedy, Drama, Romance",John M. Stahl,"Fannie Hurst, William Hurlbut, Preston Sturges","Claudette Colbert, Warren William, Rochelle Hudson","A struggling widow and her daughter take in a Black housekeeper and her fair-skinned daughter; the two women start a successful business but face familial, identity, and racial issues along the way.",English,United States,Nominated for 3 Oscars. 1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNGI3YmE5NTgtMDQwNy00YTdmLWFlNzItNzVlM2M2YTNlMjM0XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.5,"5,291",tt0025301,movie,19 Apr 2016,N/A,N/A,N/A,
True,,It Happened One Night,1934,Passed,22 Feb 1934,105 min,"Comedy, Romance",Frank Capra,"Robert Riskin, Samuel Hopkins Adams","Clark Gable, Claudette Colbert, Walter Connolly","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",English,United States,Won 5 Oscars. 11 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.1,"108,847",tt0025316,movie,16 Apr 2012,N/A,N/A,N/A,
True,,One Night of Love,1934,Passed,15 Sep 1934,84 min,"Comedy, Music, Romance",Victor Schertzinger,"S.K. Lauren, James Gow, Edmund H. North","Grace Moore, Tullio Carminati, Lyle Talbot","Mary Barrett is an aspiring Opera singer who is taken under the wings of a famous operatic maestro, Guilio Monterverdi. After spending endless working hours together and arguing, their relationship develops into love. But, jealous...","English, Italian",United States,Won 2 Oscars. 3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNzk5NDg0NTY4NF5BMl5BanBnXkFtZTgwODQxODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,5.6,701,tt0025601,movie,06 May 2013,N/A,N/A,N/A,
True,,The Thin Man,1934,TV-PG,25 May 1934,91 min,"Comedy, Crime, Mystery",W.S. Van Dyke,"Albert Hackett, Frances Goodrich, Dashiell Hammett","William Powell, Myrna Loy, Maureen O'Sullivan","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",English,United States,Nominated for 4 Oscars. 3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BY2FlMDAxZjItNzFhNS00ZDJlLWE4ZjAtOTkyMTJlODZkYjUwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.9,"31,643",tt0025878,movie,01 Jan 2009,N/A,N/A,N/A,
True,,Viva Villa!,1934,Passed,27 Apr 1934,115 min,Western,"Jack Conway, Howard Hawks, William A. Wellman","Ben Hecht, Edgecumb Pinchon, O.B. Stade","Wallace Beery, Fay Wray, Leo Carrillo","After enacting revenge on the overseer who murdered his father, Pancho Villa becomes a bandit, earning the respect of the poor by brutally attacking the wealthy.",English,United States,Won 1 Oscar. 4 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZjMwZWMxZDctNTlkNC00YTE4LWIzZGEtYWZkNzFhZWU3ZDBjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.4,"1,506",tt0025948,movie,N/A,N/A,N/A,N/A,
True,,The White Parade,1934,Approved,16 Nov 1934,80 min,Drama,Irving Cummings,"Rian James, Jesse Lasky Jr., Sonya Levien","Loretta Young, John Boles, Dorothy Wilson","The title represents the hopeful, ambitious students at a hospital training school and is primarily a story of the stern discipline and laborious physical and mental toil they endure in order to become nurses and join the White Pa...",English,United States,Nominated for 2 Oscars. 2 nominations total,https://m.media-amazon.com/images/M/MV5BMzBmNzRjNDMtM2MxNS00OTMyLWE4ZjMtZDViZjQ3MzZjNGEwXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,6.9,102,tt0025986,movie,N/A,N/A,N/A,N/A,
True,,Alice Adams,1935,Passed,13 Nov 1935,99 min,"Comedy, Drama, Romance",George Stevens,"Booth Tarkington, Dorothy Yost, Mortimer Offner","Katharine Hepburn, Fred MacMurray, Fred Stone",A working-class girl is thwarted and embarrassed in her attempts to move up socially by her gauche family and unstable father.,English,United States,Nominated for 2 Oscars. 1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYTJkYmJmOTMtMjJmZi00OGE4LTgwNzYtY2Q4MzU1NjYxN2M0XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,6.9,"4,406",tt0026056,movie,21 Nov 2016,N/A,N/A,N/A,
True,,Broadway Melody of 1936,1935,Passed,20 Sep 1935,101 min,"Comedy, Music, Musical","Roy Del Ruth, W.S. Van Dyke","Jack McGowan, Sid Silvers, Moss Hart","Jack Benny, Eleanor Powell, Robert Taylor","Bob Gordon is staging a new Broadway Show. He gets an offer of money by Lillian, if she can dance in his show. Gordon's old class mate Irene, tries to get the leading role in this show, but Lillian insists in getting this part her...","English, French, Spanish",United States,Won 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZWJlZmFhMjQtMDJkNy00ZGFkLTg2Y2ItMTIxNTI0YWZjNWVmXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,6.8,"1,940",tt0026144,movie,21 Nov 2016,"$3,607,900",N/A,N/A,
True,,Captain Blood,1935,Passed,28 Dec 1935,119 min,"Action, Adventure, History",Michael Curtiz,"Rafael Sabatini, Casey Robinson","Errol Flynn, Olivia de Havilland, Lionel Atwill","After treating a Monmouth rebel against King James II in 1680s England, a young Irish doctor is exiled as a slave to Jamaica where he captures a Spanish galleon and becomes the most feared pirate of the Caribbean.","English, French",United States,Nominated for 5 Oscars. 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjMwNDc1MzMyNV5BMl5BanBnXkFtZTgwODUzMjU1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.7,"15,299",tt0026174,movie,01 Jan 2008,N/A,N/A,N/A,
True,,David Copperfield,1935,Passed,20 Jun 1935,130 min,"Adventure, Drama, Family",George Cukor,"Charles Dickens, Hugh Walpole, Howard Estabrook","Freddie Bartholomew, Frank Lawton, Edna May Oliver",A gentle orphan discovers life and love in an indifferent adult world.,English,United States,Nominated for 3 Oscars. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYWE1NWMxZGEtM2UzNS00NDA4LWExNGQtZmJjNjBkODAzMDkzXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.4,"4,537",tt0026266,movie,21 Nov 2016,N/A,N/A,N/A,
True,,The Informer,1935,Approved,24 May 1935,91 min,"Crime, Drama",John Ford,"Dudley Nichols, Liam O'Flaherty","Victor McLaglen, Heather Angel, Preston Foster","In 1922, an Irish rebel informs on his friend, then feels doom closing in.",English,United States,Won 4 Oscars. 10 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMDM1YjliYzYtOTkzMS00M2NkLThhNjctM2RlM2MxODE4YjJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.4,"6,845",tt0026529,movie,18 Oct 2010,N/A,N/A,N/A,
True,,Les Misérables,1935,Approved,20 Apr 1935,108 min,"Drama, History, Romance",Richard Boleslawski,"Victor Hugo, W.P. Lipscomb","Fredric March, Charles Laughton, Cedric Hardwicke","In early-19th-century France, an ex-convict who failed to report to parole is relentlessly pursued over a 20-year period by an obsessive policeman.",English,United States,Nominated for 4 Oscars. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMDMyMzdjN2QtNDE3OC00M2RmLWI1YTgtNDgxZjA0NDk4ZTY4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,7.7,"3,773",tt0026725,movie,18 Sep 2012,N/A,N/A,N/A,
True,,The Lives of a Bengal Lancer,1935,Passed,01 Feb 1935,109 min,"Adventure, Drama, War",Henry Hathaway,"Waldemar Young, John L. Balderston, Achmed Abdullah","Gary Cooper, Franchot Tone, Richard Cromwell",Three British soldiers on the Northwest Frontier of India struggle against the enemy - and themselves.,English,United States,Won 1 Oscar. 2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BOTMwOTMwY2QtMGVmYS00NjYxLWI5MjQtOTczNTVmOWVlNzczXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"3,143",tt0026643,movie,N/A,"$2,180,000",N/A,N/A,
True,,A Midsummer Night's Dream,1935,Approved,30 Oct 1935,133 min,"Comedy, Fantasy, Romance","William Dieterle, Max Reinhardt","William Shakespeare, Charles Kenyon, Mary C. McCall Jr.","James Cagney, Dick Powell, Ian Hunter",Two couples and a troupe of actors have an encounter with some mischievous fairies in the forest.,English,United States,Won 2 Oscars. 2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNmM4NTI0ZTktMTY5ZC00ZDgyLWJjNjUtN2JhYjhkNDlmMDE2XkEyXkFqcGdeQXVyNTc2NzQ3Njk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,6.8,"3,749",tt0026714,movie,01 Jan 2009,N/A,N/A,N/A,
True,,Mutiny on the Bounty,1935,Passed,12 Jan 1936,132 min,"Adventure, Biography, Drama",Frank Lloyd,"Talbot Jennings, Jules Furthman, Carey Wilson","Charles Laughton, Clark Gable, Franchot Tone","First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.","English, Polynesian",United States,Won 1 Oscar. 4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNmRhZWU4MTAtNzE0OC00YjIyLTk2MGItMDRjYTc0MTZiNmU1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.6,"24,181",tt0026752,movie,21 Nov 2016,N/A,N/A,N/A,
True,,Naughty Marietta,1935,Passed,29 Mar 1935,105 min,"Drama, Musical, Romance","Robert Z. Leonard, W.S. Van Dyke","Rida Johnson Young, John Lee Mahin, Frances Goodrich","Jeanette MacDonald, Nelson Eddy, Frank Morgan","In order to avoid a prearranged marriage, a rebellious French princess sheds her identity and escapes to colonial New Orleans, where she finds an unlikely true love.",English,United States,Won 1 Oscar. 3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMzAwYTE3MjAtNjI3MS00MTM2LThkZDEtMDAxOWU5YWU5N2QyL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.5,"1,477",tt0026768,movie,N/A,N/A,N/A,N/A,
True,,Ruggles of Red Gap,1935,Approved,08 Mar 1935,90 min,"Comedy, Mystery, Romance",Leo McCarey,"Harry Leon Wilson, Walter DeLeon, Harlan Thompson","Charles Laughton, Mary Boland, Charles Ruggles",An English valet brought to the American west assimilates into the American way of life.,"English, French",United States,Nominated for 1 Oscar. 3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZmM5ZGI2YTItMTIyYy00N2RiLTk4ZjAtZTQ0YmVhMWIwMjljXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.6,"4,253",tt0026955,movie,12 Feb 2014,N/A,N/A,N/A,
True,,Top Hat,1935,Not Rated,06 Sep 1935,101 min,"Comedy, Musical, Romance",Mark Sandrich,"Dwight Taylor, Allan Scott, Aladar Laszlo","Fred Astaire, Ginger Rogers, Edward Everett Horton","An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.","English, Italian",United States,Nominated for 4 Oscars. 3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BN2Q0NjE1NTMtOTY5Zi00NWMxLTliOGYtNTg1OGU5M2RjNjVkXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,7.7,"20,181",tt0027125,movie,18 Aug 2008,N/A,N/A,N/A,
